policy_name,ec_k,ec_m,segment_size,workload_id,file_size_mb,num_objects,concurrency,read_ratio,failure_state,storage_overhead,efficiency,total_mb,read_mb,write_mb,per_thread_mb,io_intensity,data_disks_used_pct_before,data_disks_used_pct_after,data_disks_used_pct_delta,cpu_util_pct_during_run,mem_available_kb_before,load1_before,net_rx_bytes_delta,net_tx_bytes_delta,failed_disks,failed_nodes,failure_disk,time_since_last_failure_s,cpu_steal_pct_before,runnable_procs,dirty_kb,writeback_kb,swap_activity_delta,disk_reads_delta_max,disk_writes_delta_max,disk_io_time_ms_delta_max,disk_weighted_io_time_delta_max,disk_sectors_rw_delta_max,payload_bytes,total_upload_bytes,total_download_bytes,avg_upload_ms,p95_upload_ms,avg_download_ms,p95_download_ms,upload_success_rate,download_success_rate,upload_throughput_mbps,download_throughput_mbps,reconstruction_time_ms,timestamp,run_id
EC-10-4,10,4,1048576,W0001,0.015625,1,1,0.0,0,1.4,0.7142857142857143,0.015625,0.0,0.015625,0.015625,0.015625,70.11184567790843,70.11198062059461,0.0001349426861736447,21.83406113537118,1690620,14.11,209514,209514,0,0,d1,1.5052549839019775,0.0,1,12348,0,1,170,177,1800,3464,7797,16384,16384,16384,174.05567699825042,174.05567699825042,21.47417000014684,21.47417000014684,1.0,1.0,0.7509629963688688,5.929834215828196,,2026-01-23T15:47:43+0600,242a2f8c
EC-2-2,2,2,1048576,W0001,0.015625,1,1,0.0,0,2.0,0.5,0.015625,0.0,0.015625,0.015625,0.015625,47.963459974090995,47.96353903142228,7.905733128410475e-05,30.23255813953488,2509524,4.57,198311,198311,0,0,d1,,,3,2792,0,,,,,,,16384,16384,16384,53.6816019998696,53.6816019998696,15.097988999968948,15.097988999968948,1.0,1.0,2.384710200006498,8.178468213065472,,2026-01-23T10:24:59+0600,be548044
EC-3-2,3,2,1048576,W0001,0.015625,1,1,0.0,0,1.6666666666666667,0.6,0.015625,0.0,0.015625,0.015625,0.015625,50.76598920894689,50.76602192232536,3.271337846655342e-05,22.22222222222222,2455324,6.84,149083,149083,0,0,d1,0.5499844551086426,0.0,3,5276,0,0,24,49,788,1516,9701,16384,16384,16384,32.22266500006299,32.22266500006299,36.30705699970349,36.30705699970349,1.0,1.0,3.9489742584845597,3.5322417443719405,,2026-01-23T10:52:21+0600,1ecb3e4d
EC-4-2,4,2,1048576,W0001,0.015625,1,1,0.0,0,1.5,0.6666666666666666,0.015625,0.0,0.015625,0.015625,0.015625,53.21715767630331,53.21724900115151,9.132484819929232e-05,15.862068965517242,2445376,8.22,135623,135623,0,0,d1,0.5792784690856934,0.0,2,7552,0,0,28,50,212,148,9248,16384,16384,16384,110.1612180000302,110.1612180000302,14.829066999482166,14.829066999482166,1.0,1.0,1.1799301472583286,8.545973696364475,,2026-01-23T11:20:37+0600,e1d6a9c9
EC-4-3,4,3,1048576,W0001,0.015625,1,1,0.0,0,1.75,0.5714285714285714,0.015625,0.0,0.015625,0.015625,0.015625,55.55085240159815,55.550955993963285,0.00010359236513579617,13.440860215053762,2521084,8.75,158369,158369,0,0,d1,1.2162721157073975,0.0,1,5428,0,0,50,528,448,796,14772,16384,16384,16384,140.89145000070857,140.89145000070857,15.977960999407514,15.977960999407514,1.0,1.0,0.9266711303011215,8.023374738716079,,2026-01-23T11:50:02+0600,c688bd3d
EC-5-3,5,3,1048576,W0001,0.015625,1,1,0.0,0,1.6,0.625,0.015625,0.0,0.015625,0.015625,0.015625,58.22591940950172,58.226017549637106,9.814013538544941e-05,23.349056603773587,1980624,9.81,251913,251913,0,0,d1,1.9174892902374268,0.0,3,9224,0,1,42,490,1400,2020,17430,16384,16384,16384,275.4762059994391,275.4762059994391,87.83183800005645,87.83183800005645,1.0,1.0,0.4721463242676141,1.4721811595070178,,2026-01-23T12:24:37+0600,8b7f49f1
EC-6-3,6,3,1048576,W0001,0.015625,1,1,0.0,0,1.5,0.6666666666666666,0.015625,0.0,0.015625,0.015625,0.015625,60.6304685864331,60.630498573696705,2.9987263602038183e-05,21.53846153846154,2161392,15.89,216420,216420,0,0,d1,1.4644484519958496,0.0,1,9324,0,1,87,691,2480,26064,20405,16384,16384,16384,150.7831270009774,150.7831270009774,15.758224999444792,15.758224999444792,1.0,1.0,0.866337333073751,8.072389886203885,,2026-01-23T13:03:06+0600,9331098e
EC-7-3,7,3,1048576,W0001,0.015625,1,1,0.0,0,1.4285714285714286,0.7,0.015625,0.0,0.015625,0.015625,0.015625,62.9716942040617,62.97181824228837,0.00012403822667295117,20.689655172413794,2084668,11.52,164671,164671,0,0,d1,1.205214023590088,0.0,1,10612,0,1,89,421,1084,2116,12448,16384,16384,16384,53.05542600035551,53.05542600035551,21.116230000188807,21.116230000188807,1.0,1.0,2.4451937593149533,6.017398081384472,,2026-01-23T13:44:31+0600,96d083c5
EC-8-3,8,3,1048576,W0001,0.015625,1,1,0.0,0,1.375,0.7272727272727273,0.015625,0.0,0.015625,0.015625,0.015625,65.24939861905925,65.24952947257312,0.0001308535138662137,24.65753424657534,1941704,10.01,214224,214224,0,0,d1,1.3996014595031738,0.0,4,16012,0,2,159,759,2016,2968,19821,16384,16384,16384,98.79194300083327,98.79194300083327,20.854518999840366,20.854518999840366,1.0,1.0,1.308592816925656,6.102470020993021,,2026-01-23T14:23:59+0600,32e301a2
EC-8-4,8,4,1048576,W0001,0.015625,1,1,0.0,0,1.5,0.6666666666666666,0.015625,0.0,0.015625,0.015625,0.015625,67.58590805795937,67.58605663121989,0.00014857326051753716,25.510204081632654,1740824,16.8,211872,211872,0,0,d1,1.364227056503296,0.0,1,8460,0,1,163,440,992,928,11996,16384,16384,16384,65.75523400169914,65.75523400169914,19.742167998629157,19.742167998629157,1.0,1.0,1.9765317616236513,6.495818718315715,,2026-01-23T15:04:15+0600,0d06cd17
EC-10-4,10,4,1048576,W0002,0.015625,1,1,0.2,1,1.4,0.7142857142857143,0.015625,0.003125,0.0125,0.015625,0.015625,71.4671064253437,71.46714868012421,4.225478051012033e-05,15.977961432506888,1500384,25.11,190488,190488,1,1,d1,2315.471092224121,0.0,1,8952,0,0,147,56,932,984,6449,16384,16384,16384,154.02207700026338,154.02207700026338,162.82485099873156,162.82485099873156,1.0,1.0,0.8477552308452401,0.799200614030517,164.00528799931635,2026-01-23T16:26:17+0600,a9cbe39e
EC-2-2,2,2,1048576,W0002,0.015625,1,1,0.2,1,2.0,0.5,0.015625,0.003125,0.0125,0.015625,0.015625,49.66821682645335,49.66848943794054,0.00027261148719048833,12.033195020746888,2367904,9.89,3116421,3116421,1,1,d1,,0.0,1,10776,0,0,25,58,360,304,10442,16384,16384,16384,180.96391100016262,180.96391100016262,20.42417500024385,20.42417500024385,1.0,1.0,0.7212669147561972,6.214529373566838,21.09212400000615,2026-01-23T10:40:55+0600,c0897af0
EC-3-2,3,2,1048576,W0002,0.015625,1,1,0.2,1,1.6666666666666667,0.6,0.015625,0.003125,0.0125,0.015625,0.015625,52.27869944692581,52.27871989278736,2.0445861544260424e-05,11.76470588235294,2383396,9.97,132639,132639,1,1,d1,990.6673691272736,0.0,1,8844,0,0,22,44,296,496,8114,16384,16384,16384,45.67007100013143,45.67007100013143,12.850842000261764,12.850842000261764,1.0,1.0,2.821242358710347,9.839522221238244,13.321508999979415,2026-01-23T11:08:52+0600,f717af68
EC-4-2,4,2,1048576,W0002,0.015625,1,1,0.2,1,1.5,0.6666666666666666,0.015625,0.003125,0.0125,0.015625,0.015625,54.64056448024985,54.64059991974318,3.543949333106866e-05,9.01639344262295,2367176,8.12,136848,136848,1,1,d1,1032.8693058490753,0.0,1,10984,0,0,34,33,408,728,7885,16384,16384,16384,195.33773100010876,195.33773100010876,15.338367000367725,15.338367000367725,1.0,1.0,0.6685431358038841,8.326923747348584,15.741311000056157,2026-01-23T11:37:50+0600,3f2400ad
EC-4-3,4,3,1048576,W0002,0.015625,1,1,0.2,1,1.75,0.5714285714285714,0.015625,0.003125,0.0125,0.015625,0.015625,57.233808513329606,57.233850768110116,4.225478051012033e-05,16.666666666666664,2225472,13.59,196284,196284,1,1,d1,1234.9453489780426,0.0,1,5976,0,0,40,114,444,372,8588,16384,16384,16384,250.57871699937095,250.57871699937095,18.271167000420974,18.271167000420974,1.0,1.0,0.5214582982016243,6.680036729600436,19.621796000137692,2026-01-23T12:10:36+0600,6ff27a05
