workload_id,policy_name,file_size_mb,num_objects,concurrency,read_ratio,failure_state,total_mb,read_mb,write_mb,per_thread_mb,io_intensity,payload_bytes,data_disks_used_pct_before,mem_available_kb_before,load1_before,cpu_steal_pct_before,runnable_procs,dirty_kb,writeback_kb,swap_activity_delta,disk_reads_delta_max,disk_writes_delta_max,disk_io_time_ms_delta_max,disk_weighted_io_time_delta_max,disk_sectors_rw_delta_max,failed_disks,failed_nodes,failure_disk,time_since_last_failure_s,avg_upload_ms,p95_upload_ms,avg_download_ms,p95_download_ms,reconstruction_time_ms
W0002,EC-10-4,0.015625,1,1,0.2,1,0.015625,0.003125,0.0125,0.015625,0.015625,16384,71.4671064253437,1500384,25.11,0.0,1,8952,0,0.0,147.0,56.0,932.0,984.0,6449.0,1,1,d1,2315.471092224121,154.02207700026338,154.02207700026338,162.82485099873156,162.82485099873156,164.00528799931635
W0002,EC-2-2,0.015625,1,1,0.2,1,0.015625,0.003125,0.0125,0.015625,0.015625,16384,49.66821682645335,2367904,9.89,0.0,1,10776,0,0.0,25.0,58.0,360.0,304.0,10442.0,1,1,d1,,180.96391100016265,180.96391100016265,20.42417500024385,20.42417500024385,21.09212400000615
W0002,EC-3-2,0.015625,1,1,0.2,1,0.015625,0.003125,0.0125,0.015625,0.015625,16384,52.27869944692581,2383396,9.97,0.0,1,8844,0,0.0,22.0,44.0,296.0,496.0,8114.0,1,1,d1,990.6673691272736,45.67007100013143,45.67007100013143,12.850842000261764,12.850842000261764,13.321508999979416
W0002,EC-4-2,0.015625,1,1,0.2,1,0.015625,0.003125,0.0125,0.015625,0.015625,16384,54.64056448024985,2367176,8.12,0.0,1,10984,0,0.0,34.0,33.0,408.0,728.0,7885.0,1,1,d1,1032.869305849075,195.3377310001088,195.3377310001088,15.338367000367723,15.338367000367723,15.741311000056156
W0002,EC-4-3,0.015625,1,1,0.2,1,0.015625,0.003125,0.0125,0.015625,0.015625,16384,57.233808513329606,2225472,13.59,0.0,1,5976,0,0.0,40.0,114.0,444.0,372.0,8588.0,1,1,d1,1234.9453489780426,250.57871699937093,250.57871699937093,18.271167000420974,18.271167000420974,19.62179600013769
W0002,EC-5-3,0.015625,1,1,0.2,1,0.015625,0.003125,0.0125,0.015625,0.015625,16384,59.69844944038315,2016684,12.23,0.0,6,7432,0,0.0,56.0,449.0,916.0,4204.0,15624.0,1,1,d1,1387.772893667221,49.64982999990752,49.64982999990752,14.944193000701487,14.944193000701487,15.747509998618623
W0002,EC-6-3,0.015625,1,1,0.2,1,0.015625,0.003125,0.0125,0.015625,0.015625,16384,62.08853521486147,1955408,15.91,0.0,2,11600,0,0.0,45.0,358.0,444.0,1568.0,12370.0,1,1,d1,1546.1003692150116,273.88790599979984,273.88790599979984,20.886414999040426,20.886414999040426,21.400868999990053
W0002,EC-7-3,0.015625,1,1,0.2,1,0.015625,0.003125,0.0125,0.015625,0.015625,16384,64.37149830544699,1899132,15.58,0.0,1,17136,0,0.0,76.0,455.0,376.0,1364.0,13782.0,1,1,d1,1443.0047891139984,45.86097100036568,45.86097100036568,19.80443600041326,19.80443600041326,20.379318000777857
W0002,EC-8-3,0.015625,1,1,0.2,1,0.015625,0.003125,0.0125,0.015625,0.015625,16384,66.69544717007467,1775720,16.38,0.0,2,10044,0,0.0,114.0,882.0,856.0,3640.0,24267.0,1,1,d1,1373.1528856754303,61.87974600106827,61.87974600106827,41.2312189982913,41.2312189982913,41.9275150015892
W0002,EC-8-4,0.015625,1,1,0.2,1,0.015625,0.003125,0.0125,0.015625,0.015625,16384,69.14418666908018,1719280,21.37,0.0,1,8544,0,0.0,187.0,246.0,1492.0,3072.0,9452.0,1,1,d1,1634.443835735321,279.52359200207866,279.52359200207866,31.246911999915028,31.246911999915028,31.934516999172047
W0003,EC-10-4,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,71.46714595400934,1496976,25.11,0.0,3,9036,0,0.0,58.0,285.0,344.0,536.0,4940.0,1,1,d1,0.4809989929199219,61.632938999537146,61.632938999537146,27.39814199958346,27.39814199958346,28.116421999584414
W0003,EC-2-2,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,49.668543960237976,2370860,9.89,0.0,4,10632,0,0.0,17.0,44.0,684.0,604.0,2540.0,1,1,d1,0.5274991989135742,31.34535600020172,31.34535600020172,11.114156000076036,11.114156000076036,11.642272000244702
W0003,EC-3-2,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,52.27875669533813,2385520,9.97,0.0,1,9068,0,0.0,8.0,15.0,224.0,188.0,590.0,1,1,d1,0.4308829307556152,159.39686100045947,159.39686100045947,12.674392000008083,12.674392000008083,13.170107000405553
W0003,EC-4-2,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,54.64066262038524,2366752,8.12,0.0,2,11444,0,0.0,13.0,16.0,312.0,492.0,781.0,1,1,d1,0.3080315589904785,49.33102399991185,49.33102399991185,12.633704999643667,12.633704999643667,13.863757999388326
