feature,importance
data_disks_used_pct_before,14.503838441558598
time_since_last_failure_s,12.989643051159117
concurrency,8.891391778042
mem_available_kb_before,7.051980467368606
read_mb,6.470222303188176
read_ratio,6.296300347798493
num_objects,5.905762653219203
disk_io_time_ms_delta_max,5.121711021045635
io_intensity,3.655021479831536
disk_reads_delta_max,2.8677195871976617
dirty_kb,2.7076093126231933
total_mb,2.0937104205090598
disk_weighted_io_time_delta_max,2.0774267936190025
disk_sectors_rw_delta_max,1.9969008105715056
load1_before,1.7544105972278183
write_mb,1.6823728626416645
failed_nodes,1.572389858866171
file_size_mb,1.5643303190430262
payload_bytes,1.5236029937090214
per_thread_mb,1.4910412333029135
disk_writes_delta_max,1.389897258440172
policy_name,1.3881184679904455
failure_state,1.269303734568069
runnable_procs,1.1207453090498352
failed_disks,1.1016489326845187
writeback_kb,0.9082129124173808
swap_activity_delta,0.6046870523271614
cpu_steal_pct_before,0.0
failure_disk,0.0
