feature,importance
time_since_last_failure_s,13.65578120184024
data_disks_used_pct_before,12.21622643299719
read_ratio,11.703810908737154
num_objects,9.346614013619764
read_mb,8.869746644904192
disk_io_time_ms_delta_max,5.754846079379571
concurrency,5.541213469079064
mem_available_kb_before,4.308692631836329
policy_name,3.39436001120316
disk_reads_delta_max,2.326842029650141
write_mb,2.0972684158592
dirty_kb,1.998313120511453
io_intensity,1.9958866715743293
total_mb,1.8727637646364321
disk_writes_delta_max,1.568859754742865
disk_sectors_rw_delta_max,1.4919376518616618
file_size_mb,1.4449360056919287
disk_weighted_io_time_delta_max,1.4339295592848826
payload_bytes,1.4080858854767173
load1_before,1.2877443205239394
failed_disks,1.2202890876070938
failure_state,1.1132677753708984
per_thread_mb,1.0825961522391159
runnable_procs,0.9184636133439656
failed_nodes,0.8540803911191721
writeback_kb,0.6110687150727612
swap_activity_delta,0.4823756918367881
cpu_steal_pct_before,0.0
failure_disk,0.0
