feature,importance
time_since_last_failure_s,29.336377293423848
read_ratio,28.017444788514826
num_objects,6.867038443671225
read_mb,4.99451436144584
data_disks_used_pct_before,3.8107956728095025
policy_name,2.8051967493619148
write_mb,2.583210090769259
mem_available_kb_before,1.9375608643477336
dirty_kb,1.9296777909822558
disk_io_time_ms_delta_max,1.7053219459447702
concurrency,1.7033798650929444
disk_weighted_io_time_delta_max,1.5475113545106207
per_thread_mb,1.4538293933172792
load1_before,1.4342158659316002
payload_bytes,1.4200937691936177
runnable_procs,1.2829144413194271
disk_reads_delta_max,1.261341805954936
file_size_mb,1.2554402790965562
disk_writes_delta_max,1.090000915008927
io_intensity,1.0614808682152244
disk_sectors_rw_delta_max,1.043116074909059
total_mb,0.9915088235103502
swap_activity_delta,0.2790497190734268
writeback_kb,0.18897882359486498
cpu_steal_pct_before,0.0
failure_state,0.0
failed_disks,0.0
failed_nodes,0.0
failure_disk,0.0
