workload_id,actual_best_policy,pred_best_policy,true_best_rank_in_pred,topk,topk_hit,top1_hit,actual_best_score_mean,actual_score_mean_of_pred_choice,actual_regret,pred_topk_policies
W0001,EC-3-2,EC-2-2,2,3,1,0,205.58916599929944,206.33877299951564,0.7496070002162014,"EC-2-2,EC-3-2,EC-4-2"
W0008,EC-4-2,EC-2-2,3,3,1,0,135.6748920006794,563.5936830012724,427.91879100059305,"EC-2-2,EC-3-2,EC-4-2"
W0015,EC-3-2,EC-4-2,2,3,1,0,164.8376879998068,191.54976599838847,26.712077998581663,"EC-4-2,EC-3-2,EC-4-3"
W0030,EC-2-2,EC-2-2,1,3,1,1,156.84445650094858,156.84445650094858,0.0,"EC-2-2,EC-4-2,EC-7-3"
W0031,EC-3-2,EC-2-2,2,3,1,0,153.61019500051043,627.9448465008954,474.334651500385,"EC-2-2,EC-3-2,EC-4-2"
W0033,EC-4-2,EC-4-2,1,3,1,1,176.3140130001375,176.3140130001375,0.0,"EC-4-2,EC-7-3,EC-6-3"
W0044,EC-4-2,EC-2-2,3,3,1,0,182.7700310000182,1204.909423500112,1022.1393925000939,"EC-2-2,EC-3-2,EC-4-2"
W0045,EC-4-2,EC-4-2,1,3,1,1,226.57478699966305,226.57478699966305,0.0,"EC-4-2,EC-7-3,EC-4-3"
W0046,EC-4-2,EC-4-2,1,3,1,1,217.93069299928902,217.93069299928902,0.0,"EC-4-2,EC-2-2,EC-5-3"
W0052,EC-3-2,EC-4-2,2,3,1,0,219.7779700013598,255.94003100059126,36.16206099923147,"EC-4-2,EC-3-2,EC-7-3"
W0053,EC-2-2,EC-2-2,1,3,1,1,146.7033250003169,146.7033250003169,0.0,"EC-2-2,EC-3-2,EC-4-2"
W0057,EC-2-2,EC-4-2,2,3,1,0,193.08662699995693,262.45036849832104,69.3637414983641,"EC-4-2,EC-2-2,EC-6-3"
W0064,EC-2-2,EC-4-2,2,3,1,0,221.2269556669829,240.38663366476007,19.15967799777718,"EC-4-2,EC-2-2,EC-3-2"
W0068,EC-2-2,EC-2-2,1,3,1,1,166.23810300022038,166.23810300022038,0.0,"EC-2-2,EC-3-2,EC-4-2"
W0071,EC-3-2,EC-3-2,1,3,1,1,252.0680161689294,252.0680161689294,0.0,"EC-3-2,EC-4-2,EC-4-3"
W0074,EC-2-2,EC-2-2,1,3,1,1,210.59531366699957,210.59531366699957,0.0,"EC-2-2,EC-4-2,EC-3-2"
W0081,EC-3-2,EC-3-2,1,3,1,1,237.22160450067045,237.22160450067045,0.0,"EC-3-2,EC-4-2,EC-4-3"
W0088,EC-3-2,EC-2-2,2,3,1,0,197.23298066658876,519.5461196676661,322.3131390010773,"EC-2-2,EC-3-2,EC-4-2"
W0089,EC-2-2,EC-2-2,1,3,1,1,194.68942416763943,194.68942416763943,0.0,"EC-2-2,EC-3-2,EC-4-3"
W0094,EC-3-2,EC-2-2,2,3,1,0,172.97191349985042,260.3958314997499,87.42391799989946,"EC-2-2,EC-3-2,EC-4-2"
W0097,EC-4-2,EC-4-2,1,3,1,1,255.97802874926856,255.97802874926856,0.0,"EC-4-2,EC-7-3,EC-2-2"
W0103,EC-2-2,EC-2-2,1,3,1,1,202.52069850096177,202.52069850096177,0.0,"EC-2-2,EC-3-2,EC-4-2"
W0105,EC-3-2,EC-2-2,2,3,1,0,208.5520305006412,748.2871375846495,539.7351070840083,"EC-2-2,EC-3-2,EC-4-2"
W0109,EC-2-2,EC-3-2,2,3,1,0,270.2842042499469,316.05790100024933,45.773696750302406,"EC-3-2,EC-2-2,EC-4-3"
W0112,EC-3-2,EC-2-2,2,3,1,0,268.3983937533867,297.5700483328486,29.171654579461915,"EC-2-2,EC-3-2,EC-4-2"
W0121,EC-3-2,EC-2-2,2,3,1,0,143.2602121997661,449.13104060005935,305.87082840029325,"EC-2-2,EC-3-2,EC-4-2"
W0125,EC-3-2,EC-2-2,2,3,1,0,146.87149833298463,425.58097365122194,278.7094753182373,"EC-2-2,EC-3-2,EC-4-2"
W0135,EC-2-2,EC-2-2,1,3,1,1,220.28843759953816,220.28843759953816,0.0,"EC-2-2,EC-3-2,EC-5-3"
